Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3dFwpxh2yH7C7p9BGEKLVB,"2NdeV5rLm47xAvogXrYhJX,4Js9eYwAf9rypNtV8pNSw9",Goodies (feat. Petey Pablo),Goodies,"Ciara,Petey Pablo",2004-09-27,223000,71,spotify:user:4x0h2dbuapys0r154tt3pca1n,2023-11-19T03:15:49Z,"dance pop,hip pop,pop,r&b,urban contemporary,crunk,dirty south rap,north carolina hip hop,southern hip hop",0.826,0.647,5,-6.306,0,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,4
7wBJfHzpfI3032CSD7CE2m,0Y5tJX1MQlPlqiwlOH1tJY,STARGAZING,ASTROWORLD,Travis Scott,2018-08-03,270714,77,spotify:user:nicolastoscano75,2018-11-14T00:35:18Z,"hip hop,rap,slap house",0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,4
5lFDtgWsjRJu8fPOAyJIAK,3TVXtAsR1Inumwj472S9r4,Back To Back,Back To Back,Drake,2015-07-31,170637,71,spotify:user:nicolastoscano75,2019-02-02T02:38:43Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.893,0.48,1,-3.728,0,0.356,0.00855,0.0,0.116,0.382,86.976,4
4hanO6Du5J7QEguNHYZHmw,"3Fl1V19tmjt57oBdxXKAjJ,1pPmIToKXyGdsCF6LmqLmI",Daddy (feat. Rich The Kid),Dirt Bag,"Blueface,Rich The Kid",2019-08-09,151146,61,spotify:user:5ft8vu2i53zun0peitwk7ua8q,2019-12-07T19:50:37Z,"cali rap,rap,atl hip hop,melodic rap,plugg,trap",0.869,0.59,11,-8.214,1,0.257,0.07,0.0,0.236,0.479,107.934,4
5mPSyjLatqB00IkPqRlbTE,3TVXtAsR1Inumwj472S9r4,Pop Style,Views,Drake,2016-05-06,212946,64,spotify:user:nicolastoscano75,2019-02-02T02:42:48Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.713,0.462,7,-10.027,1,0.123,0.192,2.16e-06,0.105,0.0594,133.053,4
78QR3Wp35dqAhFEc2qAGjE,"5f7VJjfbwm532GiveGC0ZK,2hlmm7s2ICUX0LVIhVFlZQ",Drip Too Hard (Lil Baby & Gunna),Drip Harder,"Lil Baby,Gunna",2018-10-05,145542,85,spotify:user:nicolastoscano75,2019-02-11T05:29:43Z,"atl hip hop,atl trap,rap,trap,melodic rap",0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,4
2JvzF1RMd7lE3KmFlsyZD8,6l3HvQ5sa6mXTsMTB19rO5,MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,84,spotify:user:nicolastoscano75,2019-02-11T22:39:25Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,4
63cd4JkwGgYJrbOizbfmsp,"0YinUQ50QDB7ZxSCLyQ40k,6oMuImdp5ZcFhWP0ESe6mG",Pure Water (with Migos),Pure Water (with Migos),"Mustard,Migos",2019-01-16,194519,7,spotify:user:nicolastoscano75,2019-02-18T08:01:17Z,"cali rap,pop rap,rap,southern hip hop,trap,atl hip hop,hip hop",0.68,0.559,0,-5.545,1,0.129,0.172,0.0,0.318,0.137,202.006,4
51rXHuKN8Loc4sUlKPODgH,"28ExwzUQsvgJooOI0X1mr3,2YZyLoL8N0Wb9xBt1NhZWg,1RyvyyTE3xzB2ZywiAwp0i,53KwLdlmrlCelAZMaLVZqU","King's Dead (with Kendrick Lamar, Future & James Blake)","King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock,Kendrick Lamar,Future,James Blake",2018-01-12,229670,73,spotify:user:nicolastoscano75,2019-03-06T07:04:09Z,"conscious hip hop,hip hop,rap,southern hip hop,trap,west coast rap,atl hip hop,art pop,indie soul,indietronica,uk alternative pop",0.645,0.705,1,-5.008,1,0.299,0.000813,0.0,0.128,0.376,137.133,4
6MWtB6iiXyIwun0YzU6DFP,246dkjvS1zLTtiykXe5h60,Wow.,Wow.,Post Malone,2018-12-24,149520,2,spotify:user:nicolastoscano75,2019-03-06T07:09:50Z,"dfw rap,melodic rap,pop,rap",0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,4
22nyEAEM29tcBRhukR089b,0xOeVMOz2fVg5BJY3N6akT,Icon,SYRE,Jaden,2017-11-17,220995,70,spotify:user:nicolastoscano75,2019-03-21T12:50:00Z,"pop rap,rap",0.786,0.82,9,-5.093,0,0.232,0.222,0.0,0.575,0.49,119.982,4
0NJp8GyCOWnQh71xKSPfuV,2jku7tDXc6XoB6MO2hFuqg,Freaky,Freaky,Tory Lanez,2019-03-15,173926,55,spotify:user:nicolastoscano75,2019-04-06T17:09:47Z,"canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,trap",0.966,0.563,8,-5.764,1,0.0618,0.00202,0.0,0.105,0.363,104.991,4
3e7Y6sfFlIdBMJhX7wpqVO,4xRYI6VqpkE3UwrDrAZL8L,44 More,Bobby Tarantino II,Logic,2018-03-09,188600,67,spotify:user:nicolastoscano75,2019-04-08T05:16:26Z,"conscious hip hop,hip hop,pop rap,rap",0.824,0.584,10,-7.098,0,0.221,0.0718,0.0,0.106,0.219,139.965,4
6Gy7rXB6Ku5vIWC7WGWsl3,"7gZfnEnfiaHzxARJ2LeXrf,2jku7tDXc6XoB6MO2hFuqg",KIKA,DUMMY BOY,"6ix9ine,Tory Lanez",2018-11-27,136031,4,spotify:user:nicolastoscano75,2019-04-29T04:48:19Z,"emo rap,canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,trap",0.745,0.715,1,-3.368,0,0.245,0.128,0.0,0.182,0.342,94.513,4
2O8gSQ9z52tZSLJnuzjkcG,"02kJSzxNuaWGqwubyUba0Z,3Fl1V19tmjt57oBdxXKAjJ",West Coast,West Coast,"G-Eazy,Blueface",2019-03-07,139610,51,spotify:user:nicolastoscano75,2019-05-11T23:23:33Z,"indie pop rap,oakland hip hop,pop rap,rap,cali rap",0.843,0.806,6,-5.156,1,0.367,0.0729,0.0,0.758,0.821,97.858,4
39xWBHPM4E9MwzEy5gbM7p,"0EeQBlQJFiAfJeVN2vT9s0,0A0FS04o6zMoto8OKPsDwY",Last Time That I Checc'd (feat. YG),Victory Lap,"Nipsey Hussle,YG",2018-02-16,225573,64,spotify:user:nicolastoscano75,2019-05-15T14:50:02Z,"conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,cali rap",0.711,0.746,1,-4.224,1,0.253,0.0289,0.0,0.371,0.279,96.024,4
3XiNC94b4Tq1xwv70sQJGN,4O15NlyKLIASxsJ0PrXPfz,Sanguine Paradise,Sanguine Paradise,Lil Uzi Vert,2019-04-09,243976,71,spotify:user:nicolastoscano75,2019-05-17T03:37:58Z,"hip hop,melodic rap,philly rap,rage rap,rap",0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,4
0Zl4G9qcdXV5hVhdOirNHG,"5LHRHt1k9lMyONurDHEdrp,31W5EY0aAly4Qieq6OFu6I",Goddamn (feat. A Boogie wit da Hoodie),Goddamn (feat. A Boogie wit da Hoodie),"Tyga,A Boogie Wit da Hoodie",2019-04-15,211039,55,spotify:user:nicolastoscano75,2019-05-31T04:48:15Z,"hip hop,pop rap,rap,trap,melodic rap",0.951,0.573,0,-6.002,0,0.227,0.0667,0.0,0.119,0.42,105.052,4
6HZILIRieu8S0iqY8kIKhj,2YZyLoL8N0Wb9xBt1NhZWg,DNA.,DAMN.,Kendrick Lamar,2017-04-14,185946,81,spotify:user:nicolastoscano75,2019-05-31T04:49:42Z,"conscious hip hop,hip hop,rap,west coast rap",0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,4
7KXjTSCq5nL1LoYtL7XAwS,2YZyLoL8N0Wb9xBt1NhZWg,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,86,spotify:user:nicolastoscano75,2019-05-31T04:55:54Z,"conscious hip hop,hip hop,rap,west coast rap",0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4
7lL3MvFWFFSD25pBz72Agj,6l3HvQ5sa6mXTsMTB19rO5,A Tale of 2 Citiez,2014 Forest Hills Drive,J. Cole,2014-12-09,269786,3,spotify:user:nicolastoscano75,2019-05-31T04:59:35Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.559,0.556,6,-7.844,1,0.531,0.553,0.0,0.251,0.362,189.861,4
16qYlQ6koFxYVbiJbGHblz,6l3HvQ5sa6mXTsMTB19rO5,G.O.M.D.,2014 Forest Hills Drive,J. Cole,2014-12-09,301133,0,spotify:user:nicolastoscano75,2019-05-31T05:00:29Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.89,0.393,4,-10.821,0,0.267,0.331,8.81e-06,0.283,0.304,128.084,4
7DcvwMAiqKJQD1rrdfxSDx,"50co4Is1HCEo8bhOyUWKpn,6l3HvQ5sa6mXTsMTB19rO5,0Y5tJX1MQlPlqiwlOH1tJY",The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),"Young Thug,J. Cole,Travis Scott",2019-05-23,200106,69,spotify:user:nicolastoscano75,2019-06-14T23:17:32Z,"atl hip hop,atl trap,gangster rap,melodic rap,rap,trap,conscious hip hop,hip hop,north carolina hip hop,slap house",0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,4
5ry2OE6R2zPQFDO85XkgRb,"3TVXtAsR1Inumwj472S9r4,1sBkRIssrMs1AbVkOJbc7a",Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,"Drake,Rick Ross",2019-06-15,205426,79,spotify:user:nicolastoscano75,2019-06-21T02:26:35Z,"canadian hip hop,canadian pop,hip hop,pop rap,rap,dirty south rap,gangster rap,southern hip hop,trap",0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,4
4eqrNsKy9Mvg1fvfsTVIAE,"1iNqsUDUraNWrj00bqssQG,6U3ybJ9UHNKEdsH7ktGBZ7,70gP6Ry4Uo0Yx6uzPIdaiJ,6l3HvQ5sa6mXTsMTB19rO5,5MbNzCW3qokGyoo9giHA3V,5yPzzu25VzEk8qrGTLIrE1","Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",1-888-88-DREAM,"Dreamville,JID,Bas,J. Cole,EARTHGANG,Young Nudy",2019-06-12,169146,0,spotify:user:nicolastoscano75,2019-06-21T02:29:04Z,"hip hop,pop rap,rap,underground hip hop,canadian hip hop,queens hip hop,sudanese hip hop,sudanese pop,conscious hip hop,north carolina hip hop,atl hip hop,indie hip hop,psychedelic hip hop,pluggnb,trap",0.791,0.583,1,-5.247,1,0.369,0.0393,0.0,0.0577,0.694,149.693,4
5WJdUrZ4ND1TCZ2AsjYK3P,"2jku7tDXc6XoB6MO2hFuqg,0VRj0yCOv2FXJNP47XQnx5,5LHRHt1k9lMyONurDHEdrp",Broke Leg (with Quavo & Tyga),Broke Leg (with Quavo & Tyga),"Tory Lanez,Quavo,Tyga",2019-05-31,165604,48,spotify:user:nicolastoscano75,2019-06-21T02:29:36Z,"canadian hip hop,canadian trap,melodic rap,pop rap,r&b,rap,trap,atl hip hop,hip hop",0.851,0.85,1,-3.4,1,0.0904,0.226,0.0,0.145,0.642,99.975,4
36TO60sxDduIsO3xH8IcUh,"6C1ohJrd5VydigQtaGy5Wa,4xRYI6VqpkE3UwrDrAZL8L",Isis,Isis,"Joyner Lucas,Logic",2019-05-23,236000,59,spotify:user:nicolastoscano75,2019-06-21T02:30:58Z,"boston hip hop,hip hop,pop rap,rap,conscious hip hop",0.918,0.837,1,-6.792,1,0.255,0.234,0.0,0.227,0.855,120.017,4
40Zb4FZ6nS1Hj8RVfaLkCV,"6vXTefBL93Dj5IqAWq6OTv,3Fl1V19tmjt57oBdxXKAjJ,6jGMq4yGs7aQzuGsMgVgZR",Slide (feat. Blueface & Lil Tjay),Slide (feat. Blueface & Lil Tjay),"French Montana,Blueface,Lil Tjay",2019-04-16,186344,50,spotify:user:nicolastoscano75,2019-06-21T02:32:53Z,"hip hop,pop rap,rap,southern hip hop,trap,cali rap,brooklyn drill,melodic rap,nyc rap",0.532,0.704,5,-3.895,0,0.26,0.093,0.0,0.184,0.591,96.004,4
