Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6yhMxRUOUnmevYm9uoVuvN,"4Fa4v1AgzYu205gfMbOVaM","Armani","Armani","Harman Chahal",2022-07-13,339565,33,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"",0.579,0.94,7,-3.546,1,0.185,0.0983,0,0.0976,0.497,151.955,4
7j4fHkqftN5HkEYiDvgMMi,"2ENaPFnsKa9MlutVokd6es","Mittran Di Chhatri","Pyass","Babbu Maan",2005-04-11,337013,58,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"punjabi pop",0.707,0.94,10,-7.731,0,0.0968,0.257,0.0696,0.398,0.937,160.051,4
13aDdz82vNOyFFk2MqZ3jt,"4EHsF8s6qU45vziEOnNeCm,7uIbLdzzSEqnX0Pkrb56cR","Chaska","The Crown","Raja Baath,Yo Yo Honey Singh",2010-03-26,196546,51,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"filmi,hindi hip hop,modern bollywood",0.812,0.777,1,-4.337,1,0.0399,0.656,0.00000108,0.0605,0.948,88.971,4
1ybPNMa5Avo9ZaDLnjJ9Ra,"2yZ5VRE8Cy4H81VL9biNbQ,3cE16YWyzYxHOfnm64kKgg,7ohyp9mPElIYE1N1atYCr2","Pehle Lalkare Naal Main Dar Gai - LoFi","Punjabi Retro Lofi","Amar Singh Chamkila,Amarjot,Raahi",2022-09-21,127379,8,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"classic punjabi pop,punjabi pop",0.708,0.557,0,-7.326,1,0.267,0.664,0.415,0.25,0.634,81.886,4
6y5UeildEI5X0SaVXzQ6AU,"2tcB32mxjVzmLcyfGizWNX","Tera Yaar Bolda","The King (Greatest Hits)","Surjit Bindrakhia",2006-01-01,275983,57,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,classic bhangra",0.733,0.932,6,-4.293,0,0.157,0.177,0.0228,0.0651,0.818,78.946,4
43MH4VS2zQJXPRpbtT7BTa,"25bvyjHJAszeSV3q0TmEhY","Rambo","Rambo","Jazzy B",2009-05-03,300960,39,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,classic bhangra,punjabi pop",0.587,0.816,10,-2.548,0,0.332,0.25,0,0.117,0.542,187.965,4
6FKZaQ6GachmVQgnQDcgn1,"1Qxa8XqBALw9cbsZvppv5t","Kali Kite Mil","College","Kulwinder Dhillon",2008-06-23,224246,48,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,classic punjabi pop,punjabi pop",0.694,0.835,3,-5.042,0,0.091,0.18,0.0000362,0.0678,0.933,175.804,4
0Q7opiyLsumSIYehtT8kPc,"7w4cOzDZ5rfomlKHfunmbV,0yqLAqvEr9ZXO4faQUObL9","Boliyan","Chalakiyan","Lehmber Hussainpuri,Jeeti",2006-01-01,313346,44,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,classic bhangra,punjabi pop",0.52,0.964,6,-0.878,0,0.0707,0.168,0.000758,0.357,0.962,124.933,4
2V8bqpkDPaehtM9m6ODvvw,"6Dy7t6ELZYEMhw9WNZ9IIF,7JUbxQ1sokBjJBMImVwaCw","Baba Tere Engine Te Beth Jana","Dou Gaane,Vol. 2","Kartar Ramla,Sukhwant Kaur",2004-03-27,172413,41,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"classic punjabi pop",0.669,0.554,8,-13.045,1,0.152,0.655,0,0.181,0.93,99.041,4
3NpNTYETMcXspfs8hE8T7h,"7bcSOvqOKoyZqU41p5YuoJ","Ishq Tera Tadpave - Oh Ho Ho Ho","Ishq Tera Tadpave (Oh Ho Ho Ho)","Sukhbir",1999-01-01,367818,55,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,filmi,modern bollywood",0.733,0.963,10,-5.06,1,0.0665,0.0558,0.0000132,0.0766,0.91,145.05,4
